,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
13,13,2017-11-11,@,MIL,L,90,98,31,74,.419,6,22,.273,22,37,.595,8,48,21,7,9,21,22,,35,85,.412,6,23,.261,22,26,.846,9,42,16,11,4,12,27
14,14,2017-11-13,@,PHO,W,100,93,39,92,.424,14,33,.424,8,13,.615,9,53,17,6,6,16,20,,37,95,.389,7,26,.269,12,20,.600,11,54,15,6,4,15,17
15,15,2017-11-15,,PHI,L,109,115,42,109,.385,3,27,.111,22,27,.815,22,57,18,7,6,9,23,,42,86,.488,7,32,.219,24,30,.800,8,52,27,7,15,16,19
16,16,2017-11-17,,PHO,L,113,122,45,91,.495,7,25,.280,16,24,.667,9,49,26,7,10,19,20,,48,103,.466,13,32,.406,13,19,.684,9,44,28,10,5,13,22
17,17,2017-11-19,,DEN,W,127,109,53,100,.530,12,32,.375,9,16,.563,13,46,36,11,5,15,27,,36,84,.429,13,31,.419,24,35,.686,17,47,18,8,8,20,15
18,18,2017-11-21,,CHI,W,103,94,36,90,.400,13,40,.325,18,25,.720,12,53,23,7,6,12,16,,36,94,.383,11,36,.306,11,16,.688,15,54,22,4,4,14,19
19,19,2017-11-22,@,SAC,L,102,113,39,78,.500,15,29,.517,9,15,.600,4,32,27,8,4,17,19,,47,85,.553,10,21,.476,9,14,.643,10,44,26,9,4,17,20
20,20,2017-11-27,@,LAC,L,115,120,44,91,.484,11,30,.367,16,24,.667,12,43,23,10,5,16,29,,41,85,.482,10,28,.357,28,30,.933,10,44,19,7,3,17,22
21,21,2017-11-29,,GSW,L,123,127,47,95,.495,9,24,.375,20,25,.800,7,34,30,12,5,17,23,,47,94,.500,12,30,.400,21,28,.750,12,49,30,10,4,22,19
22,22,2017-12-02,@,DEN,L,100,115,38,86,.442,9,30,.300,15,21,.714,17,52,21,5,2,21,24,,40,87,.460,12,31,.387,23,28,.821,9,39,26,8,6,12,19
23,23,2017-12-03,,HOU,L,95,118,32,84,.381,9,28,.321,22,30,.733,11,45,16,9,6,20,22,,45,90,.500,14,37,.378,14,17,.824,7,43,17,10,4,15,23
24,24,2017-12-07,@,PHI,W,107,104,42,96,.438,11,28,.393,12,24,.500,15,44,22,13,7,11,23,,39,81,.481,10,26,.385,16,21,.762,7,44,29,3,13,18,26
25,25,2017-12-09,@,CHO,W,110,99,43,85,.506,9,27,.333,15,21,.714,6,46,24,7,5,14,21,,41,93,.441,8,25,.320,9,14,.643,9,43,21,7,3,11,21
26,26,2017-12-12,@,NYK,L,109,113,42,102,.412,13,35,.371,12,15,.800,20,52,24,6,6,16,19,,48,101,.475,9,22,.409,8,11,.727,15,49,25,7,7,14,16
27,27,2017-12-14,@,CLE,L,112,121,47,95,.495,9,31,.290,9,14,.643,16,49,33,7,3,18,20,,43,86,.500,15,36,.417,20,25,.800,8,39,32,10,5,14,16
28,28,2017-12-18,,GSW,L,114,116,41,92,.446,10,25,.400,22,35,.629,7,45,23,9,9,12,26,,43,107,.402,11,34,.324,19,21,.905,15,61,25,6,10,14,26
29,29,2017-12-20,@,HOU,W,122,116,40,85,.471,15,35,.429,27,43,.628,10,47,27,8,5,10,25,,37,90,.411,17,42,.405,25,32,.781,12,47,19,7,5,14,30
30,30,2017-12-22,@,GSW,L,106,113,40,94,.426,11,29,.379,15,22,.682,15,46,22,11,5,15,23,,42,85,.494,7,24,.292,22,27,.815,10,42,24,9,13,15,17
31,31,2017-12-23,,POR,L,92,95,36,85,.424,8,25,.320,12,20,.600,11,55,23,8,3,17,22,,39,95,.411,10,25,.400,7,14,.500,9,47,19,7,8,11,15
32,32,2017-12-25,,MIN,L,104,121,40,92,.435,10,30,.333,14,20,.700,13,37,21,10,1,12,16,,49,84,.583,11,32,.344,12,14,.857,7,42,30,9,4,15,13
33,33,2017-12-27,,MEM,L,99,109,35,93,.376,8,28,.286,21,33,.636,22,49,14,5,4,11,26,,35,71,.493,5,21,.238,34,39,.872,5,37,20,3,9,10,20
34,34,2017-12-29,,LAC,L,106,121,46,94,.489,3,19,.158,11,16,.688,11,35,25,7,3,12,22,,42,86,.488,9,32,.281,28,34,.824,15,49,23,7,6,13,21
35,35,2017-12-31,@,HOU,L,142,148,53,105,.505,10,25,.400,26,37,.703,15,54,31,6,4,14,32,,49,106,.462,18,52,.346,32,39,.821,15,43,29,7,9,11,33
36,36,2018-01-01,@,MIN,L,96,114,34,76,.447,8,26,.308,20,29,.690,9,37,18,12,4,24,25,,40,81,.494,7,20,.350,27,30,.900,7,41,26,14,5,17,24
37,37,2018-01-03,,OKC,L,96,133,38,92,.413,11,33,.333,9,15,.600,16,45,24,5,4,17,10,,56,93,.602,14,30,.467,7,9,.778,7,44,36,12,5,9,17
38,38,2018-01-05,,CHO,L,94,108,38,94,.404,9,36,.250,9,12,.750,12,46,24,7,3,16,19,,42,99,.424,12,33,.364,12,16,.750,16,56,26,10,3,14,17
39,39,2018-01-07,,ATL,W,132,113,48,86,.558,16,36,.444,20,25,.800,6,49,32,13,6,18,25,,41,94,.436,12,34,.353,19,23,.826,10,37,22,5,4,15,16
40,40,2018-01-09,,SAC,W,99,86,37,77,.481,12,35,.343,13,21,.619,9,55,30,12,4,25,23,,30,87,.345,8,21,.381,18,27,.667,10,43,15,15,4,16,19
41,41,2018-01-11,,SAS,W,93,81,36,87,.414,13,38,.342,8,14,.571,12,47,22,15,4,15,17,,31,76,.408,8,20,.400,11,15,.733,7,45,21,6,5,20,15
42,42,2018-01-13,@,DAL,W,107,101,43,95,.453,8,26,.308,13,18,.722,11,59,24,4,0,14,31,,34,90,.378,11,43,.256,22,28,.786,4,39,20,5,1,8,17
43,43,2018-01-15,@,MEM,L,114,123,38,96,.396,12,35,.343,26,31,.839,12,44,25,11,8,13,23,,42,82,.512,10,22,.455,29,34,.853,6,48,24,8,8,18,26
44,44,2018-01-17,@,OKC,L,90,114,38,81,.469,10,26,.385,4,4,1.000,6,30,25,9,1,16,15,,46,95,.484,12,35,.343,10,12,.833,21,54,22,10,6,16,14
45,45,2018-01-19,,IND,W,99,86,44,80,.550,9,28,.321,2,14,.143,6,47,26,7,6,14,17,,37,97,.381,2,25,.080,10,13,.769,12,44,15,9,4,9,18
46,46,2018-01-21,,NYK,W,127,107,51,91,.560,10,26,.385,15,21,.714,12,39,31,10,3,6,18,,44,81,.543,12,25,.480,7,10,.700,7,33,32,3,5,17,20
